Gender,Year of Birth,Most Comfortable Language,English Proficiency,Location of Secondary School,Science Stream,Type of Qualification Completed,Grades Obtained in Qualification,Frequency of Working with Classmates,Interest in Studying Computer,Average Studying Hours per Week,Academic Year and Trimester,CGPA,PROGRAMMING AND PROBLEM SOLVING,SOFTWARE AND REQUIREMENTS,TCP/IP NETWORK FUNDAMENTALS,PROBABILITY AND STATISTICS FOR COMPUTING,OBJECT-ORIENTED APPLICATION DEVELOPMENT,DATABASE SYSTEM FUNDAMENTALS,INTRODUCTION TO COMPUTER ORGANISATION AND ARCHITECTURE,HUMAN COMPUTER INTERACTION DESIGN,OPERATING SYSTEMS,PROBLEM SOLVING WITH DATA STRUCTURES AND ALGORITHMS,COMPUTER ETHICS AND PROFESSIONAL RESPONSIBILITY,WEB APPLICATION DEVELOPMENT,SOFTWARE DESIGN,SOFTWARE TESTING,SOFTWARE PROJECT MANAGEMENT,SOFTWARE CONSTRUCTION AND CONFIGURATION,WIRELESS APPLICATION DEVELOPMENT,ADVANCED WEB APPLICATION DEVELOPMENT,SOFTWARE QUALITY ASSURANCE,SOFTWARE ENTREPRENEURSHIP,PROJECT,MULTIMEDIA TECHNOLOGY,ARTIFICIAL INTELLIGENCE,TEAM PROJECT,PROGRAMMING WITH GAME ENGINES,ADVANCED DATABASE SYSTEMS,CLOUD COMPUTING,DIGITAL IMAGE PROCESSING,FUNDAMENTALS OF CYBERSECURITY,PARALLEL PROCESSING,DATA MINING,TCP/IP NETWORK ROUTING,SERVER CONFIGURATION AND MANAGEMENT,TCP/IP NETWORK APPLICATION DEVELOPMENT,NETWORK SECURITY MANAGEMENT
Male,2003,Chinese,4,Selangor,Yes,Foundation in Science,Mostly A's,Very Often,4,16,Year 3 Trimester 1,1.89,B-,F,B,B+,B-,B,C+,F,C,C,C,C+,F,B-,C,B+,B-,B,C+,C,,,,,,,,,,,,,,,
Male,2003,Chinese,4,Selangor,Yes,Foundation in Science,Mostly A's,Very Often,4,16,Year 3 Trimester 1,1.89,F,C,F,C+,F,F,C,B-,C+,C+,C+,C,C+,C,B-,C+,F,F,B-,B-,,,,,,,,,,,,,,,
Male,2003,Chinese,4,Selangor,Yes,Foundation in Science,Mostly A's,Very Often,4,16,Year 3 Trimester 1,1.89,C,C+,B,F,C,B,C+,C,B-,F,C+,C+,C,B-,C,C+,B-,B,C+,C,,,,,,,,,,,,,,,
Male,2003,Chinese,4,Selangor,Yes,Foundation in Science,Mostly A's,Very Often,4,16,Year 3 Trimester 1,1.89,B-,F,B,B+,B-,B,C+,C,C,C,F,F,C,B-,C,C+,B-,B,C+,C,,,,,,,,,,,,,,,
Male,2003,Chinese,4,Selangor,Yes,Foundation in Science,Mostly A's,Very Often,4,16,Year 3 Trimester 1,1.89,F,C,F,C+,F,C,C,B-,F,C+,B-,F,C+,F,B+,C+,F,F,B-,B-,,,,,,,,A,,,A,,,,
Male,2003,Chinese,4,Selangor,Yes,Foundation in Science,Mostly A's,Very Often,4,16,Year 3 Trimester 1,3.86,A+,A,A,A+,A+,B+,A,A,A,A,A+,A,A,A,B+,,,,,,,,,,,,,A,,,A,,,,
Male,2002,English,5,Selangor,Yes,A-Level,Mostly A's,Sometimes,5,20,Year 3 Trimester 3,3.967,A+,A+,A,A+,A+,A+,A+,A,A+,A,A+,A+,A+,A,A,A+,A+,A+,A,A,A,A,A+,A,,,A+,A+,,,A+,,,,
Female,2003,Chinese,3,Malacca,Yes,UEC (Unified Examination Certificate),Mostly A's,Often,4,2,Year 3 Trimester 1,3.85,A,A,A+,A+,A,B+,A+,A,A,A,A-,A+,A,A,,,,,,,,,,,,,,,,,A,,,,A-
Male,1999,Chinese,4,Johor,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly C's,Often,4,14,Year 3 Trimester 3,2.6,C+,B-,B-,B-,B-,B,B,C+,B,B-,B-,B,B-,B-,B-,C+,B+,B+,B,B-,B,C+,,B+,B+,,B,,,,,,,,
Male,2002,Chinese,3,Selangor,Yes,Foundation in Science,Mostly A's,Sometimes,4,2,Alumni,3.76,A,A,A,A,A+,B,A+,A-,A+,A,A-,A+,A,A,B+,A-,A+,A,A,B+,A-,,A+,,,,A-,A+,,,A,,,,
