Gender,Most Comfortable Language,Location of Secondary School,Science Stream,Type of Qualification Completed,Grades Obtained in Qualification,Frequency of Working with Classmates,Academic Year and Trimester,Year of Birth,English Proficiency,Interest in Studying Computer,Average Studying Hours per Week,CGPA,PROGRAMMING AND PROBLEM SOLVING,SOFTWARE AND REQUIREMENTS,TCP/IP NETWORK FUNDAMENTALS,PROBABILITY AND STATISTICS FOR COMPUTING,OBJECT-ORIENTED APPLICATION DEVELOPMENT,DATABASE SYSTEM FUNDAMENTALS,WEB APPLICATION DEVELOPMENT,SOFTWARE DESIGN,SOFTWARE TESTING,COMPUTER ETHICS AND PROFESSIONAL RESPONSIBILITY,INTRODUCTION TO COMPUTER ORGANISATION AND ARCHITECTURE,HUMAN COMPUTER INTERACTION DESIGN,OPERATING SYSTEMS,PROBLEM SOLVING WITH DATA STRUCTURES AND ALGORITHMS,SOFTWARE PROJECT MANAGEMENT,SOFTWARE CONSTRUCTION AND CONFIGURATION,WIRELESS APPLICATION DEVELOPMENT,ADVANCED WEB APPLICATION DEVELOPMENT,SOFTWARE QUALITY ASSURANCE,SOFTWARE ENTREPRENEURSHIP,PROJECT,MULTIMEDIA TECHNOLOGY,ARTIFICIAL INTELLIGENCE,TEAM PROJECT,PROGRAMMING WITH GAME ENGINES,ADVANCED DATABASE SYSTEMS,CLOUD COMPUTING,DIGITAL IMAGE PROCESSING,FUNDAMENTALS OF CYBERSECURITY,PARALLEL PROCESSING,DATA MINING,TCP/IP NETWORK ROUTING,SERVER CONFIGURATION AND MANAGEMENT,TCP/IP NETWORK APPLICATION DEVELOPMENT,NETWORK SECURITY MANAGEMENT
Female,English,Malacca,Yes,Foundation in Science,Mostly B's,Often,Year 2 Trimester 1,2003,4,3,7,3.556,B,A+,A,B-,B,A+,A-,A,A-,A+,A,A,A,A,A,B-,A,A-,B+,A,A+,A,B-,B-,A+,A+,A+,B+,B,B+,B-,C,B+,A-,B+
Female,Chinese,Pahang,Yes,Foundation in Science,Mostly B's,Often,Year 3 Trimester 3,2002,4,4,3,2.7403,B-,A-,C+,B-,B-,B+,C,C,F,B-,A+,B+,B+,B,A,C+,C+,C+,C+,A+,B-,B,B,B+,C+,B-,C+,A-,B-,B+,C+,C+,B+,C+,B+
Male,English,Perak,Yes,Foundation in Science,Mostly B's,Never,Year 2 Trimester 2,2001,4,4,3,3.4185,B+,B,A-,B-,B-,F,A,A,A+,A-,A+,A,A,A+,A,B+,A,A+,B+,A+,A,B+,C+,A,B,F,A,A+,B+,A-,B,B+,B+,A-,B+
Male,Chinese,Selangor,Yes,Foundation in Art,Mostly A's,Sometimes,Year 2 Trimester 2,2002,5,4,10,3.4052,B,A-,A+,A,A-,A+,B+,A+,A-,A-,A-,A,A-,C,B+,A+,B+,A-,A,A+,C,B+,B+,A-,B-,C+,A-,A-,B+,A-,B-,B,A+,A,A-
Male,Chinese,Johor,Yes,Foundation in Art,Mostly A's,Sometimes,Year 3 Trimester 1,2002,3,3,14,3.4106,A+,A,A-,A-,B-,B,A-,B,A+,B,C+,A-,B+,A-,A+,B+,A+,A-,A-,B-,B+,A,A,B+,B+,A,B-,B-,A-,A,C,C+,B,A,A
Male,English,Selangor,Yes,Foundation in Art,Mostly B's,Often,Year 1 Trimester 3,2004,3,4,13,3.6238,B,A-,B,B+,A+,B+,A+,A+,A,A,B+,A+,A,A,C+,A,B+,A+,A,A,A-,A+,A+,A+,A-,A,A,B+,B+,B-,B+,A+,A-,B,C+
Male,English,Selangor,Yes,Foundation in Art,Mostly B's,Sometimes,Year 3 Trimester 2,2002,5,5,6,3.3912,A-,B-,A-,B,B+,B+,B-,B,A+,A+,B,A-,A+,B,A,A+,B-,B,B,B,A-,A,A,B-,B,A-,B+,A,B+,B,A-,B,A-,A+,B-
Male,Chinese,Pahang,Yes,Foundation in Science,Mostly A's,Very Often,Year 1 Trimester 2,2001,3,4,10,3.8035,A+,A,A,A,A,B+,A,A,A,A-,A,A,A,A,A-,A,A+,B,A,B+,A+,A-,A+,A+,A,B-,A-,A,B+,A+,B+,A,A-,B+,A+
Male,Chinese,Selangor,Yes,Foundation in Science,Mostly B's,Sometimes,Year 2 Trimester 2,2002,3,4,0,3.6044,A+,A,B+,A+,B,C,B+,A+,A-,A+,A,A,A+,A-,A,A,A+,B-,A+,A+,B+,A,A-,A-,B,A-,B+,A-,A,A+,A+,A-,B-,B,A-
Female,English,Sarawak,Yes,UEC (Unified Examination Certificate),Mostly C's,Never,Year 2 Trimester 2,2003,4,4,-6,3.2391,A+,B,F,B,A-,B+,B-,B+,B+,A,A-,A,A+,B+,A,B-,A-,B,B-,B,B+,B-,A+,A+,A+,B+,C,C,C+,C+,A,A+,B-,A,A
